time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450150000	15.2563	20.1755	4.85433	2.66383	0.475754	radar	5.69994	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0676	20.3068	4.83891	2.67554	0.463856	lidar	1.86761	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8373	20.3897	4.83848	2.7124	0.484148	radar	2.11978	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6216	20.5088	4.84952	2.72919	0.476492	lidar	0.638697	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3847	20.5964	4.8684	2.7647	0.499241	radar	1.27567	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1384	20.6706	4.88388	2.79668	0.506062	lidar	0.719476	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.9011	20.7424	4.89336	2.83152	0.525019	radar	0.376914	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6271	20.8064	4.94255	2.86598	0.532409	lidar	1.71832	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3783	20.838	4.9513	2.91812	0.57949	radar	2.43635	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1326	20.8793	4.94981	2.95088	0.583351	lidar	0.165674	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.9003	20.9378	4.94191	2.97273	0.574579	radar	1.76205	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7012	20.9813	4.88125	2.99526	0.569789	lidar	1.94183	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4479	21.0222	4.90547	3.02343	0.57165	radar	2.56616	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2016	21.0594	4.91518	3.04807	0.567359	lidar	0.140663	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9625	21.0793	4.91279	3.0792	0.575502	radar	0.964052	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7203	21.05	4.89063	3.12253	0.591048	lidar	1.91961	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4728	21.0367	4.89084	3.15804	0.598137	radar	1.08804	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2576	21.0299	4.84804	3.1869	0.598267	lidar	0.698859	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0029	20.9915	4.86139	3.22644	0.608867	radar	4.14992	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7934	20.9531	4.80965	3.26214	0.615873	lidar	0.602508	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5459	20.9515	4.79764	3.2687	0.570496	radar	5.56424	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2651	20.9789	4.87345	3.27306	0.542813	lidar	3.38201	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0265	20.9603	4.8684	3.29238	0.532195	radar	1.02296	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.83348	20.9205	4.79814	3.32114	0.536386	lidar	1.67389	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.60072	20.9111	4.76248	3.321	0.487953	radar	2.38529	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.40814	20.8585	4.70087	3.35076	0.495141	lidar	1.01059	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.18777	20.8167	4.68947	3.37302	0.493729	radar	1.47314	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.89426	20.7855	4.78762	3.38279	0.47577	lidar	2.28237	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.6803	20.7061	4.76597	3.41708	0.489564	radar	4.41548	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.40351	20.6226	4.83925	3.44295	0.489426	lidar	2.79538	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.17525	20.5426	4.84289	3.47166	0.496856	radar	0.0864126	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.93255	20.4627	4.86454	3.49435	0.494123	lidar	0.133396	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.71653	20.3765	4.86824	3.52677	0.512476	radar	3.47164	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.40708	20.3188	4.98536	3.52736	0.483492	lidar	3.50095	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.17538	20.2223	4.98258	3.54936	0.478214	radar	0.226459	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.91035	20.1397	5.03228	3.56077	0.463967	lidar	0.692697	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
